年,月-期底,機構類型名稱,機構名稱,流通卡數-張,有效卡數-張,本月發卡數-張,本月停卡數-張,循環信用餘額-新臺幣百萬元,本月簽帳金額-新臺幣百萬元,本月預借現金金額-新臺幣百萬元,逾期帳款比率-%,備抵呆帳提足率-%,本月轉銷呆帳金額-新臺幣百萬元,循環信用利息收入-新臺幣百萬元,簽帳手續費收入-新臺幣百萬元,預借現金手續費-新臺幣百萬元,收單特約商店家數-家
104,5,本國銀行,臺灣銀行#,226028,111872,707,997,229,652,1,0.18,730.35,1,2,11,0,1137
104,5,本國銀行,臺灣土地銀行,123821,54262,913,1261,197,333,1,0.21,2648.25,0,2,5,0,3694
104,5,本國銀行,合作金庫商業銀行#,386757,233224,4120,5975,557,2083,4,0.41,316.18,4,5,30,0,28519
104,5,本國銀行,第一商業銀行#,849535,573015,13193,7476,1298,3731,13,0.15,2062.51,5,17,54,0,1205
104,5,本國銀行,華南商業銀行#,761255,537423,14462,7917,619,3275,1,0.17,942.86,0,8,60,0,5566
104,5,本國銀行,彰化商業銀行,410605,203662,6783,2428,222,1091,1,0.11,1248.7,1,4,14,0,284
104,5,本國銀行,上海商業儲蓄銀行,375313,193538,1265,5212,742,1106,7,0.61,2119.63,0,9,18,0,322
104,5,本國銀行,台北富邦銀行#,2375060,1611842,20966,17349,6743,13232,95,0.19,733.4,26,85,188,4,557
104,5,本國銀行,國泰世華商業銀行#,4953225,3455208,61101,25577,13928,27066,214,0.14,2191.93,22,176,266,4,9520
104,5,本國銀行,高雄銀行,9062,4077,43,55,5,144,0,0.14,550.37,0,0,0,0,1091
104,5,本國銀行,兆豐國際商業銀行#,587299,390658,9458,3853,1235,2506,7,0.16,876.07,2,17,42,0,64
104,5,本國銀行,花旗(台灣)商業銀行,2923208,2505443,17161,29603,16785,19600,187,0.5,729.04,53,220,251,6,38344
104,5,本國銀行,澳盛(台灣)商業銀行,627266,379434,6661,18486,3338,3278,19,0.36,407.01,13,47,28,1,965
104,5,本國銀行,臺灣中小企業銀行,335888,131746,1283,1410,547,922,4,0.15,686.97,3,7,9,0,5
104,5,本國銀行,渣打國際商業銀行,412118,265495,2329,12490,2199,1515,10,0.45,478.02,11,28,24,0,0
104,5,本國銀行,台中商業銀行,161061,60611,2297,741,217,392,0,1.77,433.3,0,3,6,0,615
104,5,本國銀行,滙豐(台灣)商業銀行,629135,446705,8548,5999,2992,4057,61,0.22,2348.15,10,42,58,1,6
104,5,本國銀行,華泰商業銀行,10332,6732,18,29,19,62,0,1.01,195.81,0,0,1,0,0
104,5,本國銀行,臺灣新光商業銀行#,893692,456522,8248,4795,2179,3459,26,0.17,256.83,7,26,72,0,2108
104,5,本國銀行,陽信商業銀行,68675,38731,987,529,268,239,0,0.73,883.65,0,3,3,0,55
104,5,本國銀行,三信商業銀行,16804,11376,223,81,32,126,0,0.2,5415.69,0,0,1,0,0
104,5,本國銀行,聯邦商業銀行,1760832,789866,16399,14957,4956,5339,143,0.28,128.39,13,48,81,1,3367
